species,n
Rosa acicularis subsp. sayi (Schwein.) W.H.Lewis,1
Rubus idaeus subsp. strigosus (Michx.) Focke,1
Sabulina austromontana (S.J.Wolf & Packer) Dillenb. & Kadereit,1
Sabulina verna subsp. verna,1
Salix arctica subsp. arctica,1
Salix myrtillifolia Andersson,1
Salix petrophila Rydb.,1
Salix planifolia Pursh,1
Salix sitchensis Sanson ex Bong.,1
Sambucus racemosa L.,1
Saxifraga flagellaris Sternb. & Willd.,1
Saxifraga flagellaris subsp. flagellaris,1
Saxifraga flagellaris subsp. setigera (Pursh) Tolm.,1
Saxifraga oppositifolia subsp. smalliana (Engl. & Irmsch.) Hultén,1
Silene douglasii Hook.,1
Smelowskia calycina (Stephan) C.A.Mey.,1
Solidago multiradiata subsp. multiradiata,1
Sorbus sitchensis M.Roem.,1
Spinulum annotinum (L.) A.Haines,1
Symphyotrichum Nees,1
Symphyotrichum foliaceum var. cusickii (A.Gray) Lesica,1
Thalictrum occidentale A.Gray,1
Triantha glutinosa (Michx.) Baker,1
Tsuga mertensiana subsp. mertensiana,1
Veronica wormskjoldii subsp. wormskjoldii,1
Viola adunca Sm.,1
Xerophyllum tenax (Pursh) Nutt.,1
