species,n
Festuca saximontana Rydb.,15
Lomatium macrocarpum (Hook. & Arn.) J.M.Coult. & Rose,15
Lupinus sellulus var. lobbii (A.Gray ex S.Watson) B.J.Cox,15
Micranthes nelsoniana var. porsildiana (Calder & Savile) Gornall & H.Ohba,15
Myosotis alpestris F.W.Schmidt,15
Penstemon davidsonii Greene,15
Pinus contorta Douglas ex Loudon,15
Polystichum lonchitis (L.) Roth,15
Rumex lapponicus (Hiitonen) Czernov,15
Salix barclayi Andersson,15
Agoseris aurantiaca var. aurantiaca,14
Aquilegia flavescens S.Watson,14
Arnica cordifolia Hook.,14
Boechera stricta (Graham) Al-Shehbaz,14
Danthonia intermedia Vasey,14
Draba oligosperma Hook.,14
Dryas octopetala L.,14
Eriophorum angustifolium Honck.,14
Phlox diffusa Benth.,14
Poa pratensis L.,14
Pulsatilla patens subsp. nuttalliana (DC.) Grey-Wilson,14
Sabulina rubella (Wahlenb.) Dillenb. & Kadereit,14
Stellaria longipes subsp. longipes,14
Draba lonchocarpa Rydb.,13
Equisetum variegatum subsp. variegatum,13
Petasites frigidus (L.) Fr.,13
Poa secunda subsp. secunda,13
Veratrum viride Aiton,13
Allium schoenoprasum L.,12
Arnica mollis Hook.,12
Carex magellanica subsp. irrigua (Wahlenb.) Hiitonen,12
Lonicera involucrata (Richards.) Banks ex Spreng.,12
Parnassia fimbriata Banks,12
Parnassia fimbriata K.D.Koenig,12
Pectiantia pentandra (Hook.) Rydb.,12
Poa wheeleri Vasey,12
Potentilla diversifolia var. perdissecta (Rydb.) C.L.Hitchc.,12
Salix brachycarpa Nutt.,12
Selaginella densa var. scopulorum (Maxon) R.M.Tryon,12
Spinulum annotinum subsp. annotinum,12
Vaccinium scoparium Leiberg ex Coville,12
Antennaria lanata (Hook.) Greene,11
Antennaria racemosa Hook.,11
Anticlea occidentalis (A.Gray) Zomlefer & Judd,11
Draba stenoloba Ledeb.,11
Geum macrophyllum Willd.,11
Luzula piperi (Coville) M.E.Jones,11
Phacelia hastata Douglas ex Lehm.,11
Poa arctica subsp. arctica,11
Potentilla villosa Pall. ex Pursh,11
Ribes lacustre (Pers.) Poir.,11
Saxifraga tricuspidata Rottb.,11
Stellaria longipes Goldie,11
Symphyotrichum foliaceum (DC.) G.L.Nesom,11
Arnica rydbergii Greene,10
Erigeron glacialis var. glacialis,10
Heracleum sphondylium subsp. elegans (Crantz) Schübl. & G.Martens,10
Huperzia haleakalae (Brack.) Holub,10
Micranthes tolmiei (Torr. & A.Gray) Brouillet & Gornall,10
Orthilia secunda (L.) House,10
Polemonium viscosum Nutt.,10
Saxifraga aizoides L.,10
Vaccinium membranaceum Douglas ex Torr.,10
Cardamine oligosperma Nutt.,9
Carex brunnescens subsp. brunnescens,9
Carex disperma Dewey,9
Carex saxatilis L.,9
Carex scirpoidea Michx.,9
Claytonia lanceolata Pursh,9
Erythronium grandiflorum Pursh,9
Koeleria cristata Kar. & Kir.,9
Luzula spicata (L.) DC.,9
Romanzoffia sitchensis Bong.,9
Sagina saginoides (L.) Karst.,9
Saxifraga adscendens subsp. oregonensis (Raf.) Bacig.,9
Trichophorum cespitosum subsp. cespitosum,9
Arnica angustifolia subsp. tomentosa (Macoun) G.W.Douglas & Ruyle-Douglas,8
Campanula alaskana (A.Gray) W.Wight ex J.P.Anderson,8
Carex pachystachya Cham. ex Steud.,8
Castilleja parviflora var. parviflora,8
Comastoma tenellum subsp. tenellum,8
Cypripedium parviflorum Salisb.,8
Erigeron ochroleucus Nutt.,8
Erigeron peregrinus (Pursh) Greene,8
Festuca baffinensis Polunin,8
Galium boreale L.,8
Lupinus nootkatensis Donn ex Sims,8
Moneses uniflora (L.) A.Gray,8
Platanthera stricta Lindl.,8
Poa palustris L.,8
Polemonium pulcherrimum var. pulcherrimum,8
Pyrola asarifolia Michx.,8
Pyrola asarifolia subsp. asarifolia,8
Pyrola minor L.,8
Salix cascadensis Cockerell,8
Trollius laxus Salisb.,8
Antennaria rosea subsp. pulvinata (Greene) R.J.Bayer,7
Lupinus lepidus Douglas ex Lindl.,7
Poa arctica R.Br.,7
Poa glauca Vahl,7
Salix brachycarpa var. brachycarpa,7
Sedum divergens S.Watson,7
Sedum lanceolatum subsp. lanceolatum,7
Tiarella trifoliata var. unifoliata (Hook.) Kurtz,7
"Trollius laxus subsp. albiflorus (A.Gray) Á.Löve, D.Löve & B.M.Kapoor",7
Agoseris Raf.,6
Agrostis idahoensis Nash,6
Agrostis mertensii Trin.,6
Anaphalis margaritacea (L.) Benth.,6
Botrychium pinnatum H.St.John,6
Calamagrostis purpurascens R.Br.,6
